source_site,food_class,query,recipe_name,ingredients_text,calories,protein,fat,carbs,source_url,scraped_at
bbc_good_food,pizza,cheese pizza,Fish pie mac ’n’ cheese,"650ml milk 40g plain flour 40g butter 2 tsp Dijon mustard 150g mature  cheddar grated 180g frozen peas handful of  parsley chopped 300g macaroni 300g fish pie mix (smoked fish, white fish and salmon) green salad to serve (optional)",504.0,28.0,22.0,47.0,https://www.bbcgoodfood.com/recipes/fish-pie-mac-n-cheese,2026-05-12 00:37:50
bbc_good_food,pizza,cheese pizza,Baked ratatouille & goat’s cheese,"4 tbsp olive oil 2 red onions chopped 2 garlic cloves finely chopped 2 aubergines diced 2 red peppers seeded and diced 1 tsp smoked paprika 2 tbsp balsamic vinegar 1 tsp soy sauce 500ml passata 200g young goat’s cheese 4 courgettes (a mixture of green and yellow looks nice), thinly sliced 400ml milk 50g unsalted butter 50g plain flour 80g parmesan or vegetarian alternative, finely grated",472.0,20.0,31.0,25.0,https://www.bbcgoodfood.com/recipes/baked-ratatouille-goats-cheese,2026-05-12 00:37:52
bbc_good_food,pizza,cheese pizza,Macaroni cheese lasagne,2 tbsp olive oil 400g lean beef mince 50g smoked pancetta chopped ½ onion finely chopped ½ celery stick finely chopped ½ carrot finely chopped 1 garlic clove crushed 150ml red wine 1 tbsp tomato purée 400g can chopped tomatoes 250ml beef stock 2 bay leaves 1 rosemary sprig 1 tsp sugar 400g macaroni 80g grated mozzarella a few whole basil leaves to serve (optional) 50g butter 50g plain flour 2 tsp English mustard 800ml semi-skimmed milk small grating of nutmeg 100g grated parmesan 100g mature cheddar grated,574.0,33.0,25.0,49.0,https://www.bbcgoodfood.com/recipes/macaroni-cheese-lasagne,2026-05-12 00:37:54
bbc_good_food,pizza,vegetable pizza,Vegetable soup,"200g chopped  vegetables such as onions, celery and carrots 300g potatoes cubed 1 tbsp oil 700ml stock crème fraîche and fresh herbs, to serve",215.0,4.0,7.0,32.0,https://www.bbcgoodfood.com/recipes/versatile-veg-soup,2026-05-12 00:38:00
bbc_good_food,pizza,vegetable pizza,Vegetable & bean chilli,"1tbsp olive oil 1 clove garlic finely chopped ginger finely chopped 1 large onion chopped 2 courgettes diced 1 red pepper deseeded and chopped 1 yellow pepper deseeded and chopped 1tbsp chilli powder 100g red lentils washed and drained 1tbsp tomato purée 2x cans chopped tomatoes 195g can sweetcorn drained 420g can butter beans drained 400g can kidney beans in water, drained",361.0,21.0,6.0,61.0,https://www.bbcgoodfood.com/recipes/vegetable-bean-chilli,2026-05-12 00:38:02
bbc_good_food,pizza,vegetable pizza,Rustic vegetable soup,1 tbsp rapeseed oil 1 large onion chopped 2 carrots chopped 2 celery sticks chopped 50g dried red lentils 1½ l boiling vegetable bouillon (we used Marigold) 2 tbsp tomato purée 1 tbsp chopped fresh thyme 1 leek finely sliced 175g bite-sized cauliflower florets 1 courgette chopped 3 garlic cloves finely chopped ½ large Savoy cabbage stalks removed and leaves chopped 1 tbsp basil chopped,162.0,7.0,5.0,19.0,https://www.bbcgoodfood.com/recipes/rustic-vegetable-soup,2026-05-12 00:38:04
bbc_good_food,pizza,vegetable pizza,Slow cooker vegetable lasagne,1 tbsp rapeseed oil 2 onions sliced 2 large garlic cloves chopped 2 large courgettes diced (400g) 1 red and 1 yellow pepper deseeded and roughly sliced 400g can chopped tomatoes 2 tbsp tomato purée 2 tsp vegetable bouillon 15g fresh basil chopped plus a few leaves 1 large aubergine sliced across length or width for maximum surface area 6 wholewheat lasagne sheets (105g) 125g vegetarian buffalo mozzarella chopped,325.0,15.0,11.0,36.0,https://www.bbcgoodfood.com/recipes/slow-cooker-vegetable-lasagne,2026-05-12 00:38:06
bbc_good_food,pizza,vegetable pizza,Roasted summer vegetables,"3 tbsp olive oil 1 aubergine cut into chunks 2 mixed coloured peppers such as orange and red, cut into chunks 1 red onion cut into wedges 2 courgettes cut into chunks 4 garlic cloves smashed 3 sprigs of thyme 200g cherry tomatoes handful of basil leaves zest of 1 lemon 50g feta crumbled",198.0,6.0,12.0,12.0,https://www.bbcgoodfood.com/recipes/roasted-vegetables,2026-05-12 00:38:07
bbc_good_food,pizza,vegetable pizza,Vegetable samosas,1 tbsp vegetable oil 1 onion finely chopped 2 garlic cloves crushed 1 potato (about 150g) finely diced 1 carrot (about 100g) finely diced 100g frozen peas 2 tsp curry powder or your own spices according to taste 100ml vegetable stock 225g plain flour 2 tsp sea salt 2 tbsp vegetable oil 2l vegetable oil to deep fry,105.0,1.0,7.0,10.0,https://www.bbcgoodfood.com/recipes/vegetable-samosas,2026-05-12 00:38:10
bbc_good_food,pizza,vegetable pizza,Italian vegetable soup,"2 each of onions and carrots, chopped 4 sticks celery chopped 1 tbsp olive oil 2 tbsp sugar 4 garlic cloves crushed 2 tbsp tomato purée 2 bay leaves few sprigs thyme 3 courgettes chopped 400g can butter beans drained 400g can chopped tomatoes 1.2l vegetable stock 100g parmesan or vegetarian equivalent, grated 140g small pasta shapes small bunch basil shredded",215.0,11.0,6.0,30.0,https://www.bbcgoodfood.com/recipes/italian-vegetable-soup,2026-05-12 00:38:12
bbc_good_food,pizza,vegetable pizza,Vegetable pasta bake,300g dried penne pasta 3 tbsp olive oil 1 large aubergine chopped 1 red onion finely chopped 2 peppers deseeded and finely sliced 2 courgettes chopped 3 garlic cloves crushed 2 tbsp tomato purée 400g can cherry tomatoes small bunch of basil leaves picked and stems finely chopped 25g vegetarian hard cheese grated 25g grated mozzarella 75g mature cheddar grated 20g panko breadcrumbs,409.0,16.0,14.0,52.0,https://www.bbcgoodfood.com/recipes/vegetable-pasta-bake,2026-05-12 00:38:13
bbc_good_food,pizza,vegetable pizza,Easy vegetable curry,"1 large potato diced 1 small butternut squash peeled, deseeded and diced 1 aubergine diced 6 tbsp tikka masala paste 3 tbsp vegetable oil 2 onions sliced 680g-700g jar tomato passata 400g can coconut milk 2 red peppers sliced 2 courgettes diced few coriander sprigs, to serve rice or naan bread to serve",259.0,5.0,16.0,20.0,https://www.bbcgoodfood.com/recipes/vegetable-curry-crowd,2026-05-12 00:38:15
